scope,key,threshold,rows,skip_block_ratio,skip_value_ratio,mean_l2_abs,mean_l2_rel,max_l2_rel,max_abs_err,mean_abs_err,mean_exact_l2
layer_expert,11:177:blk.11.ffn_down_exps.weight,0.1,2,0.6875,0.6875,0.9017321725,0.6154261495,0.62668208,0.0429628445,0.008507398375,1.4649184800000001
layer_expert,11:178:blk.11.ffn_down_exps.weight,0.1,3,0.8020833333333334,0.8020833333333334,0.8223512063333334,0.6993894226666667,1.0,0.0466598384,0.007746308116666667,1.3513427106666667
layer_expert,11:179:blk.11.ffn_down_exps.weight,0.1,3,0.9791666666666666,0.9791666666666666,0.5615419516666668,0.9204629026666667,1.0,0.0288392099,0.0053031627133333335,0.609780622
layer_expert,11:180:blk.11.ffn_down_exps.weight,0.1,3,0.9479166666666666,0.9479166666666666,0.9696550303333332,0.925729261,0.97409195,0.0519927889,0.009138238633333332,1.0558300853333333
layer_expert,11:181:blk.11.ffn_down_exps.weight,0.1,2,0.9375,0.9375,0.6976827555,0.8821944964999999,0.950558641,0.0334012604,0.0065571490149999995,0.7955574175
layer_expert,11:182:blk.11.ffn_down_exps.weight,0.1,3,0.7708333333333334,0.7708333333333334,0.9999585049999999,0.785985796,0.852629544,0.050265396,0.0094323411,1.2761456933333333
layer_expert,11:183:blk.11.ffn_down_exps.weight,0.1,3,0.9270833333333334,0.9270833333333334,0.6864811193333334,0.9223718613333333,1.0,0.0463046432,0.00646706033,0.7699509056666667
layer_expert,11:184:blk.11.ffn_down_exps.weight,0.1,2,1.0,1.0,0.4916504985,1.0,1.0,0.0292691384,0.004631546265,0.4916504985
layer_expert,11:187:blk.11.ffn_down_exps.weight,0.1,2,0.9375,0.9375,0.973018832,0.9442767194999999,1.0,0.0522241145,0.00914807588,1.034173744
layer_expert,11:189:blk.11.ffn_down_exps.weight,0.1,7,0.6607142857142857,0.6607142857142857,0.9303462981428571,0.6458821831428571,1.0,0.0489739403,0.00876313933,1.587933297
